,artist_id,artist_name,album_id,album_name,album_release_date,album_total_tracks,track_id,track_name,duration_ms,explicit,added_at
843,2AM4ilv6UzW0uMRuqKtDgN,ZZ Top,4krv5xmTGdK9LhWINUkVgO,Fandango! (Expanded 2006 Remaster),1975-04-18,12,6zGDIDjfDkPyNxrEERO3XG,Tush - 2006 Remaster,137933,False,2021-07-16T05:09:44Z
844,4salDzkGmfycRqNUbyBphh,Styx,294yFGYq9SBXWR4g6dK63D,Pieces Of Eight,1978-01-01,10,1CQqupcyMg7176PPmIVmSj,Renegade,257226,False,2021-07-16T05:09:41Z
845,1dfeR4HaWDbWqFHLkxsg1d,Queen,6Di4m5k1BtMJ0R44bWNutu,News Of The World (Deluxe Remastered Version),1977-10-28,16,54flyrjcdnQdco7300avMJ,We Will Rock You - Remastered 2011,122066,False,2021-07-16T05:03:05Z
846,2CLVPk9FcywjClBcTvWPkT,Loverboy,5NwluvA7kQLbxKOtXqkY1m,We Are The '80s,2006,14,0sgDEFq9oeC8ueOK0mR5IA,Working for the Weekend,220706,False,2021-07-16T04:59:23Z
847,0rvjqX7ttXeg3mTy8Xscbt,Journey,2EFUNYmwxe0AOGxBORrfaw,Frontiers,1983-02-22,14,4ECNtOnqzxutZkXP4TE3n3,Separate Ways (Worlds Apart),323706,False,2021-07-16T04:54:47Z
848,1dLWg6m8RRhizsdqJbhyj3,Quiet Riot,3Q3rQ8FK1e9Fd9Gv9xm3CK,Metal Health,1983,12,3vV3cr2TpPqFk07zxYUbla,Cum on Feel the Noize,290960,False,2021-07-16T04:51:54Z
849,27T030eWyCQRmDyuvr1kxY,Scorpions,6d4dgGamepehj0WwsYXTKi,Love At First Sting,1984-05-04,9,0XIvZ82aDF7JiSi3ZE320u,Rock You Like A Hurricane,252493,False,2021-07-16T04:46:40Z
850,5W0GCoUUwU3SF6qpJanlug,Paul Stanley,636ZUf6zYxacR9OgzyA6W9,Live To Win,2006-01-01,10,74inHQGjQj6w630tZ9wb2J,Live To Win,187360,False,2021-07-16T04:43:09Z
851,7Js6Lde8thlIHXggv2SCBz,Europe,757bBjyKpeIeLRiS6fgA7c,Hot Rod,2007-07-31,23,2APniDd8uCMZMdG95f0yMw,Rock the Night,243866,False,2021-07-16T04:41:31Z
852,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,3REUXdj5OPKhuDTrTtCBU0,1984 (Remastered),1984-01-04,9,7N3PAbqfTjSEU1edb2tY8j,Jump - 2015 Remaster,241599,False,2021-07-16T04:21:03Z
853,29kkCKKGXheHuoO829FxWK,Boston,2QLp07RO6anZHmtcKTEvSC,Boston,1976,8,1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,285133,False,2021-07-16T04:07:55Z
854,711MCceyCBcFnzjGY4Q7Un,AC/DC,1dmBXO2zmCbsf8qAicqbs0,Live,1992-10-27,14,6MWkewqqntx7y6AyOqEoXM,T.N.T. - Live - 1991,227706,False,2021-07-15T14:14:38Z
855,5NGO30tJxFlKixkPSgXcFE,The Police,2EpuND32cO7CX0gXZl2NB6,Reggatta De Blanc (Remastered 2003),1979-10-02,11,1oYYd2gnWZYrt89EBXdFiO,Message In A Bottle,290280,False,2021-07-15T14:10:54Z
856,5NGO30tJxFlKixkPSgXcFE,The Police,5W9OT0a5iZlBr83a9WMKFY,Synchronicity (Remastered 2003),1983-06-17,11,1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,253920,False,2021-07-15T14:10:49Z
857,5NGO30tJxFlKixkPSgXcFE,The Police,1H9g6j4Wwj6wh6p8YHVtkf,Outlandos D'Amour (Remastered 2003),1978-11-02,10,3EYOJ48Et32uATr9ZmLnAo,Roxanne,191946,False,2021-07-15T14:10:27Z
858,0TcYeHEK9sBtv7xPbKhzHz,Chumbawamba,79sAKFjr7TWKw6A94kBKPL,All-Star Sports Jams,2008-01-01,10,2JLRcAkPB8JZIIohZarVTr,Tubthumping,212013,False,2021-07-15T04:50:22Z
859,1SImpQO0GbjRgvlwCcCtFo,The Red Jumpsuit Apparatus,6TyPSzd5rA2rQ9yLJJ1Gg2,Don't You Fake It,2006-01-01,11,4wzjNqjKAKDU82e8uMhzmr,Face Down,192000,False,2021-07-15T04:47:43Z
860,7DZ58DvASCdGxYBdET8fbC,Ov Sulfur,1hHaXapKFTDXsnDhlZbmN6,Bathe in the Flame,2021-05-06,1,3fJWw5Od5tGvKlyh02jLib,Bathe in the Flame,240000,False,2021-07-14T12:47:25Z
861,7DZ58DvASCdGxYBdET8fbC,Ov Sulfur,2AAnQSF4VAUQzIg8BSETpz,Oblivion,2021-06-16,1,7deQhRSrzcKOoID5EPvHCl,Oblivion,269142,True,2021-07-14T12:47:14Z
862,278ZYwGhdK6QTzE3MFePnP,Trivium,3x3csj05nBEuh2pVL49l9P,In The Court Of The Dragon,2021-07-09,1,4XUbRHf92kd5Gd8DS6iWqw,In The Court Of The Dragon,309029,False,2021-07-14T12:47:06Z
863,3JFsVIxOn7STeilPICkkB2,Lamb of God,13oFnEbK6yXLZBLm1rMqzE,Lamb of God (Deluxe Version),2021-03-26,26,5jeMzMyTuC8fLmKHZ3ybFD,Hyperthermic / Accelerate,244965,False,2021-07-14T12:46:53Z
864,3JFsVIxOn7STeilPICkkB2,Lamb of God,13oFnEbK6yXLZBLm1rMqzE,Lamb of God (Deluxe Version),2021-03-26,26,6gq5YInoFxEUT13bzu9DyC,Ghost Shaped People,245948,True,2021-07-14T12:46:47Z
865,3JFsVIxOn7STeilPICkkB2,Lamb of God,13oFnEbK6yXLZBLm1rMqzE,Lamb of God (Deluxe Version),2021-03-26,26,0ErWy8DgYDgwQv6FCjcmQn,New Colossal Hate,270746,False,2021-07-14T12:46:30Z
866,3JFsVIxOn7STeilPICkkB2,Lamb of God,13oFnEbK6yXLZBLm1rMqzE,Lamb of God (Deluxe Version),2021-03-26,26,4lRqPwtQvsXWbbDZlBrg6O,Reality Bath,272483,True,2021-07-14T12:46:29Z
867,3JFsVIxOn7STeilPICkkB2,Lamb of God,13oFnEbK6yXLZBLm1rMqzE,Lamb of God (Deluxe Version),2021-03-26,26,3nttswSzeXuSk7Xad9QzU4,Checkmate,270508,False,2021-07-14T12:46:21Z
868,3JFsVIxOn7STeilPICkkB2,Lamb of God,13oFnEbK6yXLZBLm1rMqzE,Lamb of God (Deluxe Version),2021-03-26,26,4OmvqIgAnUvyovQoWyQvZO,Memento Mori,348099,False,2021-07-14T12:46:20Z
869,6z3BjfmgvDUIHaJ0UPTtrQ,Protest The Hero,3heoigEWJd3HfnFiAdDCbV,Palimpsest,2020-06-19,13,0UbkxT0daHVPO45WMS0q6j,Rivet,335040,False,2021-07-14T12:46:05Z
870,6z3BjfmgvDUIHaJ0UPTtrQ,Protest The Hero,3heoigEWJd3HfnFiAdDCbV,Palimpsest,2020-06-19,13,0h6gV7nupReNxdcpCR8yGq,Gardenias,297066,False,2021-07-14T12:45:57Z
871,6z3BjfmgvDUIHaJ0UPTtrQ,Protest The Hero,3heoigEWJd3HfnFiAdDCbV,Palimpsest,2020-06-19,13,4t4lgE1q9ico2XJWmINzy5,Little Snakes,296626,False,2021-07-14T12:45:55Z
